السنة;اسم الدورة;المقدّم;التاريخ;الوقت;الفئة المستهدفة;الموقع;النمط
1442;إشكالات البحث العلمي لدى طلاب الدراسات العليا والخطوات العملية لمعالجتها;د. عبد الله منصور النبابي;1447/4/12 هـ;6:30–8:00 مساءً;طلاب الدراسات العليا;-;عن بعد
1442;تجربة باحث;د. عبد العزيز سعود عرب;1447/4/17 هـ;-;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
1442;تجربة باحث;د. ليلى علي الشهري;1447/4/17 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
1442;شخصية الباحث;د. فيصل عامر النويبيسي;1447/4/24 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
1442;إشكالات البحث العلمي لدى طلاب الدراسات العليا والخطوات العملية لمعالجتها;د. غدير محمد الشريف;1447/4/26 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا;-;عن بعد
1442;مهارات الصياغة البحثية;د. جميلة عادل مرسي;1447/5/1 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
1442;المهارات المنهجية البحثية;د. مها شعلان البتيتي;1447/5/17 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
1442;مهارات تحقيق المخطوطات;د. سعود سعد الأنصاري;1447/5/24 هـ;8:30–10:00 مساءً;طلاب الدراسات العليا، أعضاء هيئة التدريس;-;عن بعد
